station_id,time,cs,fof2,hmF2,foE,MUFD,hF2
AL945,2026-02-05 12:52:30+00:00,70,5.350,18.34,,245.0,253.8
MHJ45,2026-02-05 12:52:30+00:00,70,8.725,29.81,2.35,227.5,245.3
AL945,2026-02-05 13:00:00+00:00,40,5.800,20.71,,240.0,238.7
MHJ45,2026-02-05 13:00:00+00:00,60,9.125,31.46,2.35,230.0,241.6
MHJ45,2026-02-05 13:07:30+00:00,70,9.225,32.03,2.20,220.0,230.6
AL945,2026-02-05 13:07:30+00:00,60,6.488,23.62,,260.0,236.2
AL945,2026-02-05 13:15:00+00:00,70,7.000,24.70,,227.5,236.2
MHJ45,2026-02-05 13:15:00+00:00,65,9.150,30.95,2.50,215.0,232.7
AL945,2026-02-05 13:22:30+00:00,70,7.625,27.07,,222.5,235.6
MHJ45,2026-02-05 13:22:30+00:00,70,9.150,30.43,2.53,215.0,248.6
MHJ45,2026-02-05 13:30:00+00:00,70,9.550,31.26,2.53,220.0,255.5
AL945,2026-02-05 13:30:00+00:00,70,7.500,28.72,2.05,220.0,219.4
MHJ45,2026-02-05 13:37:30+00:00,70,9.825,31.47,,212.5,261.3
AL945,2026-02-05 13:37:30+00:00,60,7.981,28.68,2.15,227.5,228.4
AL945,2026-02-05 13:45:00+00:00,70,7.675,27.98,2.17,215.0,227.8
MHJ45,2026-02-05 13:45:00+00:00,70,9.825,30.90,,210.0,267.2
MHJ45,2026-02-05 13:52:30+00:00,70,10.400,32.95,2.55,215.0,270.7
AL945,2026-02-05 13:52:30+00:00,0,8.400,29.62,2.22,303.8,
AL945,2026-02-05 14:00:00+00:00,90,8.125,30.39,2.25,210.0,215.1
MHJ45,2026-02-05 14:00:00+00:00,70,11.225,35.29,,215.0,273.0
MHJ45,2026-02-05 14:07:30+00:00,70,11.625,38.49,2.85,217.5,259.3
AL945,2026-02-05 14:07:30+00:00,60,6.725,27.25,2.38,212.5,198.7
